"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"323","18","The parameter 'PayloadDef' has been declared but not used.","$PayloadDef","PSReviewUnusedParameter","Warning","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1","PayloadDef",,"False"
"186","13","Empty catch block is used. Please use Write-Error or throw statements in catch blocks.","catch { }","PSAvoidUsingEmptyCatchBlock","Warning","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1",,,"False"
"237","29","The cmdlet 'Invoke-ScapeProgressWrapper' returns an object of type 'System.Object[]' but this type is not declared in the OutputType attribute.","return @()","PSUseOutputTypeCorrectly","Information","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1",,,"False"
"82","10","Function 'Remove-ScapeAsset' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'.","Remove-ScapeAsset","PSUseShouldProcessForStateChangingFunctions","Warning","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,,"False"
"20","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"21","49","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"25","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"27","51","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"30","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"47","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"49","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
,,"Missing BOM encoding for non-ASCII encoded file 'AssetManager.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1",,,"False"
"38","22","Found global variable 'Global:SCAPE_MEM'.","$Global:SCAPE_MEM","PSAvoidGlobalVars","Warning","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1","Global:SCAPE_MEM",,"False"
"39","75","Found global variable 'Global:SCAPE_MEM'.","$Global:SCAPE_MEM","PSAvoidGlobalVars","Warning","AssetManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\AssetManager.psm1","Global:SCAPE_MEM",,"False"
,,"Missing BOM encoding for non-ASCII encoded file 'Constants.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Constants.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\Constants.psm1",,,"False"
"17","9","The cmdlet 'Get-ScapeDefaultIconLevel' returns an object of type 'System.Int32' but this type is not declared in the OutputType attribute.","return 0","PSUseOutputTypeCorrectly","Information","Constants.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\Constants.psm1",,,"False"
"29","39","The cmdlet 'Get-ScapeConstant' returns an object of type 'System.String' but this type is not declared in the OutputType attribute.","return $Path","PSUseOutputTypeCorrectly","Information","Constants.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\Constants.psm1",,,"False"
,,"Missing BOM encoding for non-ASCII encoded file 'EventBus.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","EventBus.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\EventBus.psm1",,,"False"
"36","17","Empty catch block is used. Please use Write-Error or throw statements in catch blocks.","catch { }","PSAvoidUsingEmptyCatchBlock","Warning","EventBus.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\EventBus.psm1",,,"False"
"46","9","Empty catch block is used. Please use Write-Error or throw statements in catch blocks.","catch { }","PSAvoidUsingEmptyCatchBlock","Warning","EventBus.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\EventBus.psm1",,,"False"
,,"Missing BOM encoding for non-ASCII encoded file 'HardwareProfile.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","HardwareProfile.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\HardwareProfile.psm1",,,"False"
